rehydration_id	parent_corpus_database_id	artifact_id	provider	url	expected_sha256	expected_byte_size	route_kind	download_status	target_local_path	actual_sha256	actual_byte_size	access_metadata_written	error
figure1_rehydrate_ca5acc3ec18c5f40	github:ying531/awesome-replicability-data	source_artifact_a5068a664576aebb	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/queue/original_clean.csv	1576957bc1e93c94d937134e5e9811e18ed547d4d509225c894336a2921db106	18517	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_queue/github_01__original_clean.csv	1576957bc1e93c94d937134e5e9811e18ed547d4d509225c894336a2921db106	18517		
figure1_rehydrate_abea31f3a96d6dc5	github:ying531/awesome-replicability-data	source_artifact_a5068a664576aebb	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/queue/original_clean.csv		18517	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_queue/github_01__original_clean.csv	1576957bc1e93c94d937134e5e9811e18ed547d4d509225c894336a2921db106	18517		
figure1_rehydrate_04e16a40527855c5	github:ying531/awesome-replicability-data	source_artifact_aa4c1770a5d040a4	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/queue/replication_clean.csv	1496351d9a75fdc558fe284f5d3a227b27ca01ec3f881edac4ae37a550e17a81	55271	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_queue/github_02__replication_clean.csv	1496351d9a75fdc558fe284f5d3a227b27ca01ec3f881edac4ae37a550e17a81	55271		
figure1_rehydrate_8c62ec536e6e781d	github:ying531/awesome-replicability-data	source_artifact_aa4c1770a5d040a4	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/queue/replication_clean.csv		55271	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_queue/github_02__replication_clean.csv	1496351d9a75fdc558fe284f5d3a227b27ca01ec3f881edac4ae37a550e17a81	55271		
figure1_rehydrate_e746f56d67077c28	github:ying531/awesome-replicability-data	source_artifact_54926743dfbece2c	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/time_honest/original_cleaned.csv	4fc3045a36132c4dac0d5b5646981a14d23fccef33c4a3c1d35528973fa815ec	10803	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_time_honest/github_01__original_cleaned.csv	4fc3045a36132c4dac0d5b5646981a14d23fccef33c4a3c1d35528973fa815ec	10803		
figure1_rehydrate_fc528b2b9a1a3cb4	github:ying531/awesome-replicability-data	source_artifact_54926743dfbece2c	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/time_honest/original_cleaned.csv		10803	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_time_honest/github_01__original_cleaned.csv	4fc3045a36132c4dac0d5b5646981a14d23fccef33c4a3c1d35528973fa815ec	10803		
figure1_rehydrate_5a2dc9d4746bf23a	github:ying531/awesome-replicability-data	source_artifact_f713413bfe101d33	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/time_honest/replication2_cleaned.csv	4e146e04ac291a1a291656511d1611a0f4c7da81ac1aa158b5802905072978c5	52574	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_time_honest/github_02__replication2_cleaned.csv	4e146e04ac291a1a291656511d1611a0f4c7da81ac1aa158b5802905072978c5	52574		
figure1_rehydrate_da5adb5da67d43b0	github:ying531/awesome-replicability-data	source_artifact_f713413bfe101d33	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/time_honest/replication2_cleaned.csv		52574	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_time_honest/github_02__replication2_cleaned.csv	4e146e04ac291a1a291656511d1611a0f4c7da81ac1aa158b5802905072978c5	52574		
figure1_rehydrate_213b8030fd9c8683	github:ying531/awesome-replicability-data	source_artifact_21a84d921639d1bf	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/time_honest/replication1_cleaned.csv	fc13b6d84d6d31029c66a23a79f2cdbef052cd8991a62b46518066d117ac7aa0	67973	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_time_honest/github_03__replication1_cleaned.csv	fc13b6d84d6d31029c66a23a79f2cdbef052cd8991a62b46518066d117ac7aa0	67973		
figure1_rehydrate_8e66df8dce62eb94	github:ying531/awesome-replicability-data	source_artifact_21a84d921639d1bf	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/time_honest/replication1_cleaned.csv		67973	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_time_honest/github_03__replication1_cleaned.csv	fc13b6d84d6d31029c66a23a79f2cdbef052cd8991a62b46518066d117ac7aa0	67973		
figure1_rehydrate_d893c48660558985	github:ying531/awesome-replicability-data	source_artifact_0bd8ed6012d73804	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/time_honest/process.R	ea9773baf4f00b91a4331eb2f95e89f60199f8e242aebf6b03467ae0a161f65c	5110	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_time_honest/github_04__process.R	ea9773baf4f00b91a4331eb2f95e89f60199f8e242aebf6b03467ae0a161f65c	5110		
figure1_rehydrate_a34072bb44a0ae12	github:ying531/awesome-replicability-data	source_artifact_0bd8ed6012d73804	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/time_honest/process.R		5110	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_time_honest/github_04__process.R	ea9773baf4f00b91a4331eb2f95e89f60199f8e242aebf6b03467ae0a161f65c	5110		
figure1_rehydrate_d67bc48405a76558	lead_harvest:covid_online_2021	source_artifact_6b25ce74472cf87f	dataverse	https://dataverse.harvard.edu/api/access/datafile/4641479	14a6689fdfb837200022688bc350086e1fc762d3ce982c940d7a2975e98dbc69	6006	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/covid_online_2021/dataverse_01__phc_lucid_completes.rds	14a6689fdfb837200022688bc350086e1fc762d3ce982c940d7a2975e98dbc69	6006		
figure1_rehydrate_9f7b3dc16c1d1107	lead_harvest:covid_online_2021	source_artifact_0e37f6eec648d367	dataverse	https://dataverse.harvard.edu/api/access/datafile/4641492	8000bf29d830bcfd6b020d075e59a0092c85a295b81c21b5b6fd6324cac42770	8292	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/covid_online_2021/dataverse_02__phc_meta_trends.rds	8000bf29d830bcfd6b020d075e59a0092c85a295b81c21b5b6fd6324cac42770	8292		
