point_id,nct_id,D,N,registered_result_rows,primary_rows,secondary_rows,other_prespecified_rows,conversion_methods,field,field_label,source_family,study_type,allocation,phases,overall_status,primary_completion_date,results_first_submit_date,lead_sponsor_class,intervention_types,outcome_title,source_url,row_unit,log10_N,log10_D
ctgov_api_trial_median_05470,NCT03728634,1.6452633657459628,16.0,8,0,8,0,two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE1; PHASE2,COMPLETED,2020-02-20,,INDUSTRY,DIETARY_SUPPLEMENT; DRUG,Change From Baseline in Plasma Retinol Binding Protein 4 (RBP4) Levels Following Single and Multiple-Dose Administration of ION-TTR-LRx,https://clinicaltrials.gov/study/NCT03728634,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,1.2041199826559248,0.21623542759611203
ctgov_api_trial_median_05471,NCT03730662,0.19190741612246018,1177.0,12,2,10,0,chinn_log_odds_ratio_to_d; two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2021-01-22,,INDUSTRY,DRUG,Change From Baseline in Hemoglobin A1c (HbA1c) (10 mg and 15 mg),https://clinicaltrials.gov/study/NCT03730662,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,3.0707764628434346,-0.7169082419459855
ctgov_api_trial_median_05472,NCT03738215,0.1677273306859508,458.0,4,2,2,0,two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2021-09-30,,INDUSTRY,DRUG,Total Score Change From Baseline to Week 6 in the MADRS (Montgomery-Åsberg Depression Rating Scale),https://clinicaltrials.gov/study/NCT03738215,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.660865478003869,-0.7753961645913697
ctgov_api_trial_median_05473,NCT03738475,0.661916553451747,28.0,3,1,2,0,two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE2,COMPLETED,2019-06-24,,INDUSTRY,DRUG,Change From Baseline in Interferon-Gamma Spot Forming Units (IFN-gamma SFUs) in a Gliadin-specific Enzyme-linked Immunospot (ELISpot) at Day 20,https://clinicaltrials.gov/study/NCT03738475,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,1.4471580313422192,-0.17919675778042302
ctgov_api_trial_median_05474,NCT03739203,0.1010069238050464,470.0,4,2,2,0,two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2021-09-06,,INDUSTRY,DRUG,Change From Baseline to Week 6 in the MADRS (Montgomery-Åsberg Depression Rating Scale) Total Score,https://clinicaltrials.gov/study/NCT03739203,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.6720978579357175,-0.9956488552543631
ctgov_api_trial_median_05475,NCT03739242,0.2636882737673732,85.0,16,1,15,0,two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,NA,COMPLETED,2018-08-29,,INDUSTRY,DIETARY_SUPPLEMENT; OTHER,Change in Blood LDL Cholesterol Level,https://clinicaltrials.gov/study/NCT03739242,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,1.9294189257142929,-0.5789091828776185
ctgov_api_trial_median_05476,NCT03739866,1.94529594320656,16.0,5,5,0,0,two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE1,COMPLETED,2019-11-14,,INDUSTRY,DRUG,Part A and Part B: Maximum Reduction From Day 1 (Baseline) Through Day 10 in Plasma HIV-1 RNA,https://clinicaltrials.gov/study/NCT03739866,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,1.2041199826559248,0.2889856810985005
ctgov_api_trial_median_05477,NCT03740919,0.10504132597581714,436.0,48,1,47,0,chinn_log_odds_ratio_to_d; two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2021-07-02,,INDUSTRY,DRUG,Change From Baseline in Hemoglobin A1c (HbA1c) Efficacy Estimand at Week 26,https://clinicaltrials.gov/study/NCT03740919,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.639486489268586,-0.9786398046228246
ctgov_api_trial_median_05478,NCT03745638,0.39969256294309113,378.0,46,2,44,0,chinn_log_odds_ratio_to_d; two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2019-12-23,,INDUSTRY,DRUG,Percentage of Participants Who Achieved Investigator's Global Assessment - Treatment Success (IGA-TS) at Week 8,https://clinicaltrials.gov/study/NCT03745638,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.577491799837225,-0.39827393255757326
ctgov_api_trial_median_05479,NCT03745651,0.4165172179577752,346.0,49,2,47,0,chinn_log_odds_ratio_to_d; two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2019-11-18,,INDUSTRY,DRUG,VC Period: Percentage of Participants Who Achieved Investigator's Global Assessment - Treatment Success (IGA-TS) at Week 8,https://clinicaltrials.gov/study/NCT03745651,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.5390760987927767,-0.3803670410531271
