row_id,source_family,url_role,url,artifact_type,artifact_id,artifact_title,file_count,file_names_preview,probe_status,folder_count
apsr_campaign_experiments_archive,APSR/Dataverse,data_url,https://doi.org/10.7910/DVN/LBPSSV,dataverse_dataset,10.7910/DVN/LBPSSV,Replication Data for: How Experiments Help Campaigns Persuade Voters: Evidence from a Large Archive of Campaigns' Own Experiments,1,replication_archive.zip,metadata_ok,
apsr_campaign_experiments_archive,APSR/Dataverse,prereg_url,https://osf.io/q276a/ ; https://osf.io/5c9hx/,osf_node,q276a:osfstorage,,6,Archive of OSF Storage/5_analyze - PAP.do; Archive of OSF Storage/2_clean_census.R; Archive of OSF Storage/clean_ra_video_coding.do; Archive of OSF Storage/3_weight_functions.R; Archive of OSF Storage/4_conduct_analysis.R; Archive of OSF Storage/1_clean_responses.R,metadata_ok_provider_status_http_404,1.0
apsr_campaign_experiments_archive,APSR/Dataverse,prereg_url,https://osf.io/q276a/ ; https://osf.io/5c9hx/,osf_node,5c9hx:osfstorage,,0,,http_404,0.0
ajps_ghana_debates_ofosu_brierley_kramon,AJPS/Dataverse,data_url,https://doi.org/10.7910/DVN/OJA7YS,dataverse_dataset,10.7910/DVN/OJA7YS,Replication Data for: The Moderating Effect of Debates on Political Attitudes,20,ALL_pvalues.tab; Appendix F - Multiple Comparisons.R; BKO_AppendixTableD.2.R; BKO_codebook_AllPValues.pdf; BKO_codebook_constituency_level_analysis.pdf; BKO_codebook_debate_individual_level_data.pdf; BKO_codebook_debate_main_data.pdf; BKO_codebook_G2_analysis.pdf; BKO_constituency_analysis.tab; BKO_debates_AppendixTablesB1B2.R; BKO_debates_individual.tab; BKO_debates_main.tab,metadata_ok,
ajps_ghana_debates_ofosu_brierley_kramon,AJPS/Dataverse,prereg_url,https://osf.io/2qhg6/,osf_node,2qhg6:osfstorage,,1,Archive of OSF Storage/20161205AA_PAP.pdf,metadata_ok_provider_status_http_404,1.0
aea_good_politicians_trial_685,AEA/Zenodo,data_url,https://doi.org/10.5281/zenodo.10086096,zenodo_record,10086096,Good Politicians: Experimental Evidence on Motivations for Political Candidacy and Government Performance,2,gulzarkhan20240105.zip; gulzarkhan20240212.rar,metadata_ok,
aea_good_politicians_trial_685,AEA/Zenodo,prereg_url,https://www.socialscienceregistry.org/trials/685,plain_url,https://www.socialscienceregistry.org/trials/685,,,,http_200_text/html; charset=utf-8,
aea_good_politicians_trial_685,AEA/Zenodo,result_url,https://academic.oup.com/restud/article/92/1/339/7627149,plain_url,https://academic.oup.com/restud/article/92/1/339/7627149,,,,http_403_text/html; charset=UTF-8,
metaketa_ii_tax_meta,EGAP Metaketa II,result_url,https://egap.org/our-work/the-metaketa-initiative/roundtwo-taxation/,plain_url,https://egap.org/our-work/the-metaketa-initiative/roundtwo-taxation/,,,,http_200_text/html; charset=UTF-8,
metaketa_ii_state_capacity_ceiling_3818,AEA/Metaketa II,prereg_url,https://www.socialscienceregistry.org/trials/3818,plain_url,https://www.socialscienceregistry.org/trials/3818,,,,http_200_text/html; charset=utf-8,
metaketa_ii_state_capacity_ceiling_3818,AEA/Metaketa II,result_url,https://www.nber.org/system/files/working_papers/w31685/revisions/w31685.rev0.pdf,plain_url,https://www.nber.org/system/files/working_papers/w31685/revisions/w31685.rev0.pdf,,,,http_200_application/pdf,
metaketa_ii_local_elites_state_capacity,OpenICPSR/Metaketa II,data_url,https://www.openicpsr.org/openicpsr/project/147561/version/V1/view,plain_url,https://www.openicpsr.org/openicpsr/project/147561/version/V1/view,,,,http_403_text/html; charset=UTF-8,
