source_id	identifier_type	identifier_value	identifier_url	identifier_source	is_primary	confidence	notes
work_title_percent_change_from_baseline_in_calculated_low_density_lipoprotein	url	https://clinicaltrials.gov/study/NCT02715726	https://clinicaltrials.gov/study/NCT02715726	source.tsv	true	medium	
work_title_change_from_baseline_in_modified_scale_for_the_assessment_of_negat	nct	NCT00725075	https://clinicaltrials.gov/study/NCT00725075	source.tsv	true	high	
work_title_change_from_baseline_in_modified_scale_for_the_assessment_of_negat	url	https://clinicaltrials.gov/study/NCT00725075	https://clinicaltrials.gov/study/NCT00725075	source.tsv	true	medium	
work_title_brons_et_al_2017_score_24yw6_31_1	doi	10.1093/esr/jcx078	https://doi.org/10.1093/esr/jcx078	source.tsv	true	high	
work_title_brons_et_al_2017_score_24yw6_31_1	url	https://doi.org/10.1093/esr/jcx078	https://doi.org/10.1093/esr/jcx078	source.tsv	true	medium	
work_title_nichols_knobe_2007	url	https://doi.org/10.1093/acprof:osobl/9780199927418.001.0001	https://doi.org/10.1093/acprof:osobl/9780199927418.001.0001	source.tsv	true	medium	
work_title_change_from_baseline_in_international_restless_legs_syndrome_study	nct	NCT00472199	https://clinicaltrials.gov/study/NCT00472199	source.tsv	true	high	
work_title_change_from_baseline_in_international_restless_legs_syndrome_study	url	https://clinicaltrials.gov/study/NCT00472199	https://clinicaltrials.gov/study/NCT00472199	source.tsv	true	medium	
work_title_sulindac_effects_on_apoptosis_in_atypical_nevi	nct	NCT00841204	https://clinicaltrials.gov/study/NCT00841204	source.tsv	true	high	
work_title_sulindac_effects_on_apoptosis_in_atypical_nevi	url	https://clinicaltrials.gov/study/NCT00841204	https://clinicaltrials.gov/study/NCT00841204	source.tsv	true	medium	
work_title_change_from_baseline_in_the_number_of_bowel_movements_per_week	nct	NCT01965652	https://clinicaltrials.gov/study/NCT01965652	source.tsv	true	high	
work_title_change_from_baseline_in_the_number_of_bowel_movements_per_week	url	https://clinicaltrials.gov/study/NCT01965652	https://clinicaltrials.gov/study/NCT01965652	source.tsv	true	medium	
work_title_the_composite_of_cerebral_ischemic_stroke_and_transient_ischemic_a	nct	NCT02796664	https://clinicaltrials.gov/study/NCT02796664	source.tsv	true	high	
work_title_the_composite_of_cerebral_ischemic_stroke_and_transient_ischemic_a	url	https://clinicaltrials.gov/study/NCT02796664	https://clinicaltrials.gov/study/NCT02796664	source.tsv	true	medium	
work_plot2_metabus_open_bosco_pp_45_4_807_4702	url	https://doi.org/10.1111/j.1744-6570.1992.tb00969.x	https://doi.org/10.1111/j.1744-6570.1992.tb00969.x	source.tsv	true	medium	
work_title_change_from_baseline_in_the_brief_pain_inventory_short_form_bpi_sf	nct	NCT01070329	https://clinicaltrials.gov/study/NCT01070329	source.tsv	true	high	
work_title_change_from_baseline_in_the_brief_pain_inventory_short_form_bpi_sf	url	https://clinicaltrials.gov/study/NCT01070329	https://clinicaltrials.gov/study/NCT01070329	source.tsv	true	medium	
work_title_10_1007_s00213_003_1558_z	doi	10.1007/s00213-003-1558-z	https://doi.org/10.1007/s00213-003-1558-z	source.tsv	true	high	
work_title_10_1007_s00213_003_1558_z	url	https://doi.org/10.1007/s00213-003-1558-z	https://doi.org/10.1007/s00213-003-1558-z	source.tsv	true	medium	
work_title_4_month_progression_free_survival_pfs_rate_in_the_double_blind_pha	nct	NCT00602030	https://clinicaltrials.gov/study/NCT00602030	source.tsv	true	high	
work_title_4_month_progression_free_survival_pfs_rate_in_the_double_blind_pha	url	https://clinicaltrials.gov/study/NCT00602030	https://clinicaltrials.gov/study/NCT00602030	source.tsv	true	medium	
work_doi_10_17605_osf_io_evdp5	doi	10.17605/osf.io/evdp5	https://doi.org/10.17605/osf.io/evdp5	source.tsv	false	high	
work_doi_10_17605_osf_io_evdp5	url	https://doi.org/10.1098/rspb.2022.0128	https://doi.org/10.1098/rspb.2022.0128	source.tsv	true	medium	
work_nct_nct00097695	nct	NCT00097695	https://clinicaltrials.gov/study/NCT00097695	source.tsv	true	high	
work_nct_nct00097695	url	https://clinicaltrials.gov/study/NCT00097695	https://clinicaltrials.gov/study/NCT00097695	source.tsv	true	medium	
work_title_ethnic_diversity_economic_and_cultural_contexts_and_social_trust_c	doi	10.1093/sf/sou088	https://doi.org/10.1093/sf/sou088	source.tsv	true	high	
work_title_ethnic_diversity_economic_and_cultural_contexts_and_social_trust_c	url	https://doi.org/10.1093/sf/sou088	https://doi.org/10.1093/sf/sou088	source.tsv	true	medium	
work_title_smoking_abstinence_for_7_days_at_last_contact	nct	NCT02730260	https://clinicaltrials.gov/study/NCT02730260	source.tsv	true	high	
work_title_smoking_abstinence_for_7_days_at_last_contact	url	https://clinicaltrials.gov/study/NCT02730260	https://clinicaltrials.gov/study/NCT02730260	source.tsv	true	medium	
work_title_olsson_sundell_2023_374	doi	10.1371/journal.pone.0281110	https://doi.org/10.1371/journal.pone.0281110	source.tsv	true	high	
work_title_olsson_sundell_2023_374	url	https://doi.org/10.1371/journal.pone.0281110	https://doi.org/10.1371/journal.pone.0281110	source.tsv	true	medium	
work_title_percentage_of_participants_with_a_menstrual_blood_loss_mbl_volume	nct	NCT01817530	https://clinicaltrials.gov/study/NCT01817530	source.tsv	true	high	
work_title_percentage_of_participants_with_a_menstrual_blood_loss_mbl_volume	url	https://clinicaltrials.gov/study/NCT01817530	https://clinicaltrials.gov/study/NCT01817530	source.tsv	true	medium	
work_title_genome_wide_association_analysis_in_primary_sclerosing_cholangitis	pmid	22821403	https://pubmed.ncbi.nlm.nih.gov/22821403/	source.tsv	true	high	
work_title_genome_wide_association_analysis_in_primary_sclerosing_cholangitis	url	https://pubmed.ncbi.nlm.nih.gov/22821403/	https://pubmed.ncbi.nlm.nih.gov/22821403/	source.tsv	true	medium	
work_nct_nct02025751	nct	NCT02025751	https://clinicaltrials.gov/study/NCT02025751	source.tsv	true	high	
work_nct_nct02025751	url	https://clinicaltrials.gov/study/NCT02025751	https://clinicaltrials.gov/study/NCT02025751	source.tsv	true	medium	
work_title_integrative_analysis_of_genome_wide_association_studies_identifies	pmid	33479212	https://pubmed.ncbi.nlm.nih.gov/33479212/	source.tsv	true	high	
work_title_integrative_analysis_of_genome_wide_association_studies_identifies	url	https://pubmed.ncbi.nlm.nih.gov/33479212/	https://pubmed.ncbi.nlm.nih.gov/33479212/	source.tsv	true	medium	
work_title_jap_79_6_959	url	https://doi.org/10.1037/0021-9010.79.6.959	https://doi.org/10.1037/0021-9010.79.6.959	source.tsv	true	medium	
work_title_annual_rate_of_change_in_lung_density	nct	NCT00261833	https://clinicaltrials.gov/study/NCT00261833	source.tsv	true	high	
work_title_annual_rate_of_change_in_lung_density	url	https://clinicaltrials.gov/study/NCT00261833	https://clinicaltrials.gov/study/NCT00261833	source.tsv	true	medium	
work_plot2_kuhberger_2014_main_results_kuhberger_175_2405	doi	10.1371/journal.pone.0105825	https://doi.org/10.1371/journal.pone.0105825	source.tsv	true	high	
work_plot2_kuhberger_2014_main_results_kuhberger_175_2405	url	https://doi.org/10.1371/journal.pone.0105825	https://doi.org/10.1371/journal.pone.0105825	source.tsv	true	medium	
work_title_percentage_of_participants_with_disease_free_survival_dfs	nct	NCT00630032	https://clinicaltrials.gov/study/NCT00630032	source.tsv	true	high	
work_title_percentage_of_participants_with_disease_free_survival_dfs	url	https://clinicaltrials.gov/study/NCT00630032	https://clinicaltrials.gov/study/NCT00630032	source.tsv	true	medium	
work_title_investigating_technology_enhanced_teacher_professional_development	doi	10.3102/0013189x16644602	https://doi.org/10.3102/0013189x16644602	source.tsv	true	high	
work_title_investigating_technology_enhanced_teacher_professional_development	url	https://doi.org/10.3102/0013189x16644602	https://doi.org/10.3102/0013189x16644602	source.tsv	true	medium	
work_title_pressed_for_time_goal_conflict_shapes_how_time_is_perceived_spent	doi	10.1509/jmr.14.0130	https://doi.org/10.1509/jmr.14.0130	source.tsv	true	high	
work_title_pressed_for_time_goal_conflict_shapes_how_time_is_perceived_spent	url	https://doi.org/10.1509/jmr.14.0130	https://doi.org/10.1509/jmr.14.0130	source.tsv	true	medium	
work_title_many_labs_2_anderson_1	url	https://doi.org/10.1371/journal.pone.0309135	https://doi.org/10.1371/journal.pone.0309135	source.tsv	true	medium	
work_title_when_your_world_must_be_defended_choosing_products_to_justify_the	doi	10.1086/658469	https://doi.org/10.1086/658469	source.tsv	true	high	
work_title_when_your_world_must_be_defended_choosing_products_to_justify_the	url	https://doi.org/10.1086/658469	https://doi.org/10.1086/658469	source.tsv	true	medium	
work_title_how_does_the_design_of_waste_disposal_signage_influence_waste_disp	doi	10.1016/j.jenvp.2018.07.009	https://doi.org/10.1016/j.jenvp.2018.07.009	source.tsv	true	high	
work_title_how_does_the_design_of_waste_disposal_signage_influence_waste_disp	url	https://doi.org/10.1016/j.jenvp.2018.07.009	https://doi.org/10.1016/j.jenvp.2018.07.009	source.tsv	true	medium	
work_title_van_prooijen_j_w_van_dijk_e_2014_when_consequence_size_predicts_be	url	https://doi.org/10.1016/j.jesp.2014.06.006	https://doi.org/10.1016/j.jesp.2014.06.006	source.tsv	true	medium	
work_title_percent_of_patients_in_histological_remission_30_eos_hpf	nct	NCT03473977	https://clinicaltrials.gov/study/NCT03473977	source.tsv	true	high	
work_title_percent_of_patients_in_histological_remission_30_eos_hpf	url	https://clinicaltrials.gov/study/NCT03473977	https://clinicaltrials.gov/study/NCT03473977	source.tsv	true	medium	
work_doi_10_1111_j_1467_9280_2008_02045_x	doi	10.1111/j.1467-9280.2008.02045.x	https://doi.org/10.1111/j.1467-9280.2008.02045.x	source.tsv	true	high	
work_doi_10_1111_j_1467_9280_2008_02045_x	url	https://doi.org/10.1111/j.1467-9280.2008.02045.x	https://doi.org/10.1111/j.1467-9280.2008.02045.x	source.tsv	true	medium	
work_title_olsson_sundell_2023_397	doi	10.1371/journal.pone.0281110	https://doi.org/10.1371/journal.pone.0281110	source.tsv	true	high	
work_title_olsson_sundell_2023_397	url	https://doi.org/10.1371/journal.pone.0281110	https://doi.org/10.1371/journal.pone.0281110	source.tsv	true	medium	
work_title_political_ideology_predicted_nostalgia_meaning_that_the_more_conse	doi	10.1037/pspi0000121	https://doi.org/10.1037/pspi0000121	source.tsv	true	high	
work_title_political_ideology_predicted_nostalgia_meaning_that_the_more_conse	url	https://doi.org/10.1037/pspi0000121	https://doi.org/10.1037/pspi0000121	source.tsv	true	medium	
work_title_kuhberger_905	doi	10.1371/journal.pone.0105825	https://doi.org/10.1371/journal.pone.0105825	source.tsv	true	high	
work_title_kuhberger_905	url	https://doi.org/10.1371/journal.pone.0105825	https://doi.org/10.1371/journal.pone.0105825	source.tsv	true	medium	
work_title_corbo_osbat_2013	url	https://doi.org/10.2139/ssrn.2246577	https://doi.org/10.2139/ssrn.2246577	source.tsv	true	medium	
work_title_object_working_memory_is_employed_during_mental_rotation	doi	10.3758/bf03194043	https://doi.org/10.3758/bf03194043	source.tsv	true	high	
work_title_object_working_memory_is_employed_during_mental_rotation	url	https://doi.org/10.3758/bf03194043	https://doi.org/10.3758/bf03194043	source.tsv	true	medium	
work_title_phase_ii_change_in_depressive_symptoms	nct	NCT04524598	https://clinicaltrials.gov/study/NCT04524598	source.tsv	true	high	
work_title_phase_ii_change_in_depressive_symptoms	url	https://clinicaltrials.gov/study/NCT04524598	https://clinicaltrials.gov/study/NCT04524598	source.tsv	true	medium	
work_title_violent_offending_and_victimization_in_adolescence_social_network	doi	10.1111/1745-9125.12112	https://doi.org/10.1111/1745-9125.12112	source.tsv	true	high	
work_title_violent_offending_and_victimization_in_adolescence_social_network	url	https://doi.org/10.1111/1745-9125.12112	https://doi.org/10.1111/1745-9125.12112	source.tsv	true	medium	
work_doi_10_1002_acp_1376	doi	10.1002/acp.1376	https://doi.org/10.1002/acp.1376	source.tsv	true	high	
work_doi_10_1002_acp_1376	url	https://doi.org/10.1002/acp.1376	https://doi.org/10.1002/acp.1376	source.tsv	true	medium	
work_title_more_effort_is_expected_to_perform_an_additional_unit_of_work_when	doi	10.1006/cogp.1998.0708	https://doi.org/10.1006/cogp.1998.0708	source.tsv	true	high	
work_title_more_effort_is_expected_to_perform_an_additional_unit_of_work_when	url	https://doi.org/10.1006/cogp.1998.0708	https://doi.org/10.1006/cogp.1998.0708	source.tsv	true	medium	
work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_cli_046_6731	url	https://doi.org/10.1088/1126-6708/2001/11/046	https://doi.org/10.1088/1126-6708/2001/11/046	source.tsv	true	medium	
work_title_shared_genetic_pathways_contribute_to_risk_of_hypertrophic_and_dil	pmid	33495596	https://pubmed.ncbi.nlm.nih.gov/33495596/	source.tsv	true	high	
work_title_shared_genetic_pathways_contribute_to_risk_of_hypertrophic_and_dil	url	https://pubmed.ncbi.nlm.nih.gov/33495596/	https://pubmed.ncbi.nlm.nih.gov/33495596/	source.tsv	true	medium	
work_title_woon_373	url	https://doi.org/10.1002/hipo.20746	https://doi.org/10.1002/hipo.20746	source.tsv	true	medium	
work_plot2_schaefer_schwarz_2019_with_prereg_schaefer_2019_preg_25_6452	url	https://doi.org/10.1080/13540602.2018.1532407	https://doi.org/10.1080/13540602.2018.1532407	source.tsv	true	medium	
work_doi_10_1086_653487	doi	10.1086/653487	https://doi.org/10.1086/653487	source.tsv	true	high	
work_doi_10_1086_653487	url	https://doi.org/10.1086/653487	https://doi.org/10.1086/653487	source.tsv	true	medium	
work_title_du145_cell_proliferation_between_sipten_siptenp1_and_siptenp1	url	https://doi.org/10.7554/elife.11802	https://doi.org/10.7554/elife.11802	source.tsv	true	medium	
work_title_percent_change_from_baseline_in_low_density_lipoprotein_cholestero	nct	NCT01375764	https://clinicaltrials.gov/study/NCT01375764	source.tsv	true	high	
