mapping_id	source_result_id	from_source_id	to_source_id	relationship_type	relationship_confidence	notes
map_62938f5b9b10	sr_76a99a771018	src_du2024	work_nct_nct04244084	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_8e94ba87038f	sr_4018aa63d523	src_collaboration2015	work_title_https_osf_io_8j9cg	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_1d630baa193a	sr_1ffcb30d1c76	src_collaboration2015	work_title_participants_cheated_more_frequently_after_reading_the_anti_free_w	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_2781c05eec9f	sr_5b1a0fc622e3	src_boyce2023studentreplication	work_title_f_1_117_127_07	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_6f933e47f515	sr_29a6bfd3a748	src_du2024	work_title_complete_heartburn_relief_during_the_first_full_24_hour_period_in	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_9f1e790754f0	sr_1c71871780ff	src_bosco2020metabus	work_plot2_metabus_open_bosco_pp_63_2_439_4994	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_36dc58220950	sr_1ba37b2938cd	src_zhang2025clinifact	work_title_aflibercept_versus_placebo_in_combination_with_docetaxel_and_predn	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_665737401cc1	sr_0a4728aa6abf	src_tyner2026	work_doi_10_1007_s10683_011_9295_3	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_b6edcb05f093	sr_3e576eaeee38	src_schaefer2019meaningfulness	work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_mul_077_7036	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_44bc4f75b957	sr_9ff92c0aba20	src_bosco2020metabus	work_plot2_metabus_open_bosco_jap_66_3_371_3048	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_74d4101c4cd5	sr_14d8f4c6d1d5	src_yengo2022	work_title_genetic_variants_in_cpa6_and_prpf31_are_associated_with_variation	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_6ba7f81dad57	sr_025e90b19395	src_du2024	work_title_bold_oxygen_level_dependent_bold_activations_in_prespecified_rois	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_5f093643aeec	sr_efa55a2812ef	src_du2024	work_title_untx_corrected_by_creatinine_50_nmol_mmol_at_week_13	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_4ef77368c688	sr_9d0246e3a748	src_du2024	work_title_percent_change_from_baseline_in_calculated_low_density_lipoprotein	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_bc07edadae01	sr_6c3339adac2d	src_du2024	work_title_change_from_baseline_in_modified_scale_for_the_assessment_of_negat	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_ab5801b8974c	sr_2ef5e9c7214d	src_tyner2026	work_title_brons_et_al_2017_score_24yw6_31_1	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_41d8905223c1	sr_09224852e3e6	src_internalplot2replicationpairoriginalsbridge	work_title_nichols_knobe_2007	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_1c275934ce6a	sr_a556216508fd	src_du2024	work_title_change_from_baseline_in_international_restless_legs_syndrome_study	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_76187b96ff8f	sr_fd9b4c04ec6f	src_du2024	work_title_sulindac_effects_on_apoptosis_in_atypical_nevi	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_94c47ece2bc9	sr_ddfbf61c7617	src_du2024	work_title_change_from_baseline_in_the_number_of_bowel_movements_per_week	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_969d90ae7375	sr_4458f7fc086a	src_du2024	work_title_the_composite_of_cerebral_ischemic_stroke_and_transient_ischemic_a	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_cd4abba59c43	sr_3a4c25fbf576	src_bosco2020metabus	work_plot2_metabus_open_bosco_pp_45_4_807_4702	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_91c8a0f34221	sr_71af0798216e	src_du2024	work_title_change_from_baseline_in_the_brief_pain_inventory_short_form_bpi_sf	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_1cb1ca964ff0	sr_09da2adb56e5	src_internalplot2replicationpairoriginalsbridge	work_title_10_1007_s00213_003_1558_z	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_19ddfbfbe9d9	sr_17d687917962	src_du2024	work_title_4_month_progression_free_survival_pfs_rate_in_the_double_blind_pha	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_da96412f74c9	sr_ed726dff7f0e	src_tosh2024	work_doi_10_17605_osf_io_evdp5	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_07bb2b8d7938	sr_2a81f3efc08e	src_du2024	work_nct_nct00097695	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_6a73343c1623	sr_ea908acbfb0c	src_tyner2026	work_title_ethnic_diversity_economic_and_cultural_contexts_and_social_trust_c	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_90103e77a382	sr_dde25d3c0279	src_du2024	work_title_smoking_abstinence_for_7_days_at_last_contact	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_874a4ebca8d9	sr_ddd3d7c5f433	src_olsson2023publicationbias	work_title_olsson_sundell_2023_374	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
