source_result_id	represented_source_id	route	route_family	api_url	api_record_id	candidate_url	final_url	http_status	content_type	byte_count	source_byte_class	local_path	sha256	identity_decision	identity_reason	title_token_coverage	candidate_doi	primary_doi	failure_code	download_attempted
sr_4018aa63d523	work_title_https_osf_io_8j9cg	europepmc_fulltext_url	europepmc	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1037/0278-7393.34.1.230%22&format=json&resultType=core	18194065	https://doi.org/10.1037/0278-7393.34.1.230	https://doi.apa.org/doi/10.1037/0278-7393.34.1.230	403	text/html	856	full_article_html			not_accepted		0.0	10.1037/0278-7393.34.1.230	10.1037/0278-7393.34.1.230	http_403_blocked	true
sr_4018aa63d523	work_title_https_osf_io_8j9cg	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1037/0278-7393.34.1.230?mailto=rexdouglass%40gmail.com	10.1037/0278-7393.34.1.230	http://psycnet.apa.org/journals/xlm/34/1/230.pdf	http://psycnet.apa.org/journals/xlm/34/1/230.pdf	403	text/html	851	full_article_pdf			not_accepted		0.0		10.1037/0278-7393.34.1.230	http_403_blocked	true
sr_4018aa63d523	work_title_https_osf_io_8j9cg	openaire_instance_url	openaire	https://api.openaire.eu/graph/v1/researchProducts?pid=10.1037/0278-7393.34.1.230	doi_dedup___::39e4ba1fe8a0b2372972684f05e6b9a4	https://pubmed.ncbi.nlm.nih.gov/18194065	https://pubmed.ncbi.nlm.nih.gov/18194065/	200	text/html; charset=utf-8	21220	full_article_html		b58fb79d3f6bf8f9f342e1e41e75e7646a8f8aeaf1aec6b74530a811b0bb5bba	reject_not_full_article_text	html_landing_or_too_short_words=3316_body_terms=0	0.5	10.1037/0278-7393.34.1.230	10.1037/0278-7393.34.1.230	captcha_or_bot_block	true
sr_1ffcb30d1c76	work_title_participants_cheated_more_frequently_after_reading_the_anti_free_w	europepmc_fulltext_url	europepmc	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1111/j.1467-9280.2008.02045.x%22&format=json&resultType=core	18181791	https://doi.org/10.1111/j.1467-9280.2008.02045.x	https://journals.sagepub.com/doi/10.1111/j.1467-9280.2008.02045.x	403	text/html; charset=UTF-8	5775	full_article_html			not_accepted		0.0	10.1111/j.1467-9280.2008.02045.x	10.1111/j.1467-9280.2008.02045.x	http_403_blocked	true
sr_1ffcb30d1c76	work_title_participants_cheated_more_frequently_after_reading_the_anti_free_w	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1111/j.1467-9280.2008.02045.x?mailto=rexdouglass%40gmail.com	10.1111/j.1467-9280.2008.02045.x	https://journals.sagepub.com/doi/pdf/10.1111/j.1467-9280.2008.02045.x	https://journals.sagepub.com/doi/pdf/10.1111/j.1467-9280.2008.02045.x	403	text/html; charset=UTF-8	5808	full_article_html			not_accepted		0.0	10.1111/j.1467-9280.2008.02045.x	10.1111/j.1467-9280.2008.02045.x	http_403_blocked	true
sr_1ffcb30d1c76	work_title_participants_cheated_more_frequently_after_reading_the_anti_free_w	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1111/j.1467-9280.2008.02045.x?mailto=rexdouglass%40gmail.com	10.1111/j.1467-9280.2008.02045.x	https://journals.sagepub.com/doi/full-xml/10.1111/j.1467-9280.2008.02045.x	https://journals.sagepub.com/doi/full-xml/10.1111/j.1467-9280.2008.02045.x	403	text/html; charset=UTF-8	5823	full_article_html			not_accepted		0.0	10.1111/j.1467-9280.2008.02045.x	10.1111/j.1467-9280.2008.02045.x	http_403_blocked	true
sr_1ffcb30d1c76	work_title_participants_cheated_more_frequently_after_reading_the_anti_free_w	openaire_instance_url	openaire	https://api.openaire.eu/graph/v1/researchProducts?pid=10.1111/j.1467-9280.2008.02045.x	doi_dedup___::eb2114625be07ee628d0da825377f6b5	https://pubmed.ncbi.nlm.nih.gov/18181791	https://pubmed.ncbi.nlm.nih.gov/18181791/	200	text/html; charset=utf-8	125078	full_article_html	data/cache/full_article_text_acquisition/sample_300/sr_1ffcb30d1c76__openaire_instance_url__b04030f5441f.html	900cfa931b7fdc5c79d8eb43b173fda1e695630ac518ff7ffa89daa93fa9d6a7	accepted_full_article_text	primary DOI appears in candidate text	0.5	10.1111/j.1467-9280.2008.02045.x	10.1111/j.1467-9280.2008.02045.x	full_article_text_obtained	true
sr_5b1a0fc622e3	work_title_f_1_117_127_07	europepmc_fulltext_url	europepmc	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1037/a0030836%22&format=json&resultType=core	23163749	https://doi.org/10.1037/a0030836	https://doi.apa.org/doi/10.1037/a0030836	403	text/html	856	full_article_html			not_accepted		0.0	10.1037/a0030836	10.1037/a0030836	http_403_blocked	true
sr_5b1a0fc622e3	work_title_f_1_117_127_07	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1037/a0030836?mailto=rexdouglass%40gmail.com	10.1037/a0030836	http://psycnet.apa.org/journals/psp/104/1/28.pdf	http://psycnet.apa.org/journals/psp/104/1/28.pdf	403	text/html	848	full_article_pdf			not_accepted		0.0		10.1037/a0030836	http_403_blocked	true
sr_5b1a0fc622e3	work_title_f_1_117_127_07	openaire_instance_url	openaire	https://api.openaire.eu/graph/v1/researchProducts?pid=10.1037/a0030836	doi_dedup___::fddd6d6e9b0f9b1d9962c0aa3ecd6f25	https://pubmed.ncbi.nlm.nih.gov/23163749	https://pubmed.ncbi.nlm.nih.gov/23163749/	200	text/html; charset=utf-8	21218	full_article_html		425eae066d8bb2eba5bcebcedb8675fb389e3cc125d86f71ab7b6c83d88d09d4	reject_not_full_article_text	html_landing_or_too_short_words=3332_body_terms=0	0.0	10.1037/a0030836	10.1037/a0030836	captcha_or_bot_block	true
