canonical_result_id	source_result_id	membership_role	included_in_collapse	included_in_statistics	aggregation_role	weight	notes
cr_09227081ab52	sr_e75bc376a0b1	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_a3d1ead03afc	sr_9eeaae2c75a9	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_df860e9c9f09	sr_de9d02f3efe7	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_284208fb02cc	sr_a1c0077f9cb0	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_ec6d48bd896e	sr_72e0ac9be373	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_f32da47476f4	sr_f44201a1b8b4	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_4d252ae13c41	sr_b6505d27d5ef	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_a4c2f8268219	sr_8b7d83b63310	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_6164513234a8	sr_2eb0fc250a2a	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_c6f4f1268f59	sr_d5187cb33c19	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_9a85b46d292c	sr_2af4bf57e7ef	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_193b0b84c65e	sr_644891607462	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_c49cba654469	sr_9b47ec766005	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_5cb683af6f96	sr_ef6a224b8b86	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_fa6a5d12d39e	sr_1eb547defd9c	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_a3c5bc308107	sr_1c33e20c69a2	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_6184ee9292cd	sr_0a95dbeefcd1	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_8a99823738c1	sr_0c20617bc06f	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_6b95a8bc21c6	sr_37178bbf2376	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_5f1d4d40830a	sr_05cd86ffb475	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_7867cef83030	sr_026ab716fdc2	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_6345babe5196	sr_b35dc7490583	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_02e8f1cc3960	sr_0c6d1c09a807	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_049ad0935c24	sr_bb1471bd23d8	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_9872c5a6bd74	sr_16dfaeed46ee	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_343391afdb07	sr_89366ac7df1c	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_529346057b1d	sr_1166ca428215	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_5a34f6493ccc	sr_d19dc790ebd7	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_a81779e7e27c	sr_3f361d51253e	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_2fd665401294	sr_d69fb669841a	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
