source_result_id	represented_source_id	previous_evidence_level	previous_evidence_level_name	source_citation_key	represented_title	doi	route	attempt_kind	candidate_url	http_status	final_url	content_type	byte_count	pdf_valid	local_path	sha256	failure_reason	route_note
sr_143d87ef36aa	work_title_is_there_selection_bias_in_laboratory_experiments_the_case_of_soci	4	target_source_independently_grounded	tyner2026	Is There Selection Bias In Laboratory Experiments? The Case Of Social And Risk Preferences	10.1007/s10683-012-9342-8	openalex_pdf_metadata	metadata	doi:10.1007/s10683-012-9342-8					false			ok	0 pdf candidates
sr_143d87ef36aa	work_title_is_there_selection_bias_in_laboratory_experiments_the_case_of_soci	4	target_source_independently_grounded	tyner2026	Is There Selection Bias In Laboratory Experiments? The Case Of Social And Risk Preferences	10.1007/s10683-012-9342-8	semantic_scholar_openaccess_pdf_metadata	metadata	doi:10.1007/s10683-012-9342-8					false			ok	0 pdf candidates
sr_143d87ef36aa	work_title_is_there_selection_bias_in_laboratory_experiments_the_case_of_soci	4	target_source_independently_grounded	tyner2026	Is There Selection Bias In Laboratory Experiments? The Case Of Social And Risk Preferences	10.1007/s10683-012-9342-8	europepmc_pdf_metadata	metadata	doi:10.1007/s10683-012-9342-8					false			ok	0 pdf candidates
sr_143d87ef36aa	work_title_is_there_selection_bias_in_laboratory_experiments_the_case_of_soci	4	target_source_independently_grounded	tyner2026	Is There Selection Bias In Laboratory Experiments? The Case Of Social And Risk Preferences	10.1007/s10683-012-9342-8	doi_accept_pdf	pdf_candidate	https://doi.org/10.1007/s10683-012-9342-8	200	https://www.cambridge.org/core/journals/experimental-economics/article/abs/is-there-selection-bias-in-laboratory-experiments-the-case-of-social-and-risk-preferences/93349663DF8F1644299FFCB36F0259DD	text/html; charset=utf-8	835426	false			login_or_paywall_html	DOI resolver requested with Accept: application/pdf
sr_14b1bfc72686	work_title_building_confidence_in_elections_the_case_of_electoral_monitors_in	4	target_source_independently_grounded	tyner2026	Building Confidence In Elections: The Case Of Electoral Monitors In Kosova	10.1017/xps.2013.1	crossref_tdm_pdf_metadata	metadata	doi:10.1017/xps.2013.1					false			ok	0 pdf candidates
sr_14b1bfc72686	work_title_building_confidence_in_elections_the_case_of_electoral_monitors_in	4	target_source_independently_grounded	tyner2026	Building Confidence In Elections: The Case Of Electoral Monitors In Kosova	10.1017/xps.2013.1	unpaywall_pdf_metadata	metadata	doi:10.1017/xps.2013.1					false			ok	0 pdf candidates
sr_14b1bfc72686	work_title_building_confidence_in_elections_the_case_of_electoral_monitors_in	4	target_source_independently_grounded	tyner2026	Building Confidence In Elections: The Case Of Electoral Monitors In Kosova	10.1017/xps.2013.1	openalex_pdf_metadata	metadata	doi:10.1017/xps.2013.1					false			ok	0 pdf candidates
sr_14b1bfc72686	work_title_building_confidence_in_elections_the_case_of_electoral_monitors_in	4	target_source_independently_grounded	tyner2026	Building Confidence In Elections: The Case Of Electoral Monitors In Kosova	10.1017/xps.2013.1	semantic_scholar_openaccess_pdf_metadata	metadata	doi:10.1017/xps.2013.1					false			ok	0 pdf candidates
sr_14b1bfc72686	work_title_building_confidence_in_elections_the_case_of_electoral_monitors_in	4	target_source_independently_grounded	tyner2026	Building Confidence In Elections: The Case Of Electoral Monitors In Kosova	10.1017/xps.2013.1	europepmc_pdf_metadata	metadata	doi:10.1017/xps.2013.1					false			ok	0 pdf candidates
sr_14b1bfc72686	work_title_building_confidence_in_elections_the_case_of_electoral_monitors_in	4	target_source_independently_grounded	tyner2026	Building Confidence In Elections: The Case Of Electoral Monitors In Kosova	10.1017/xps.2013.1	doi_accept_pdf	pdf_candidate	https://doi.org/10.1017/xps.2013.1	200	https://www.cambridge.org/core/journals/journal-of-experimental-political-science/article/abs/building-confidence-in-elections-the-case-of-electoral-monitors-in-kosova/614A00439246435F35D10E46E6912646	text/html; charset=utf-8	830998	false			login_or_paywall_html	DOI resolver requested with Accept: application/pdf
